        eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 4.350000+5 1.655800+1 4.400000+5 1.576400+1 4.450000+5 1.410400+1
 4.500000+5 1.220500+1 4.550000+5 1.047000+1 4.600000+5 9.039200+0
 4.650000+5 7.909700+0 4.700000+5 7.031000+0 4.750000+5 6.346800+0
 4.800000+5 5.809800+0 4.850000+5 5.383500+0 4.900000+5 5.040900+0
 4.950000+5 4.762000+0 5.000000+5 4.532200+0 5.100000+5 4.179100+0
 5.200000+5 3.923400+0 5.300000+5 3.731400+0 5.400000+5 3.582500+0
 5.500000+5 3.463800+0 5.600000+5 3.367100+0 5.700000+5 3.286500+0
 5.800000+5 3.218200+0 5.900000+5 3.159400+0 6.000000+5 3.108100+0
 6.200000+5 3.022400+0 6.400000+5 2.953200+0 6.600000+5 2.895800+0
 6.800000+5 2.847700+0 7.000000+5 2.807200+0 7.200000+5 2.773800+0
 7.400000+5 2.747500+0 7.600000+5 2.729000+0 7.800000+5 2.719900+0
 8.000000+5 2.723000+0 8.200000+5 2.743000+0 8.400000+5 2.787700+0
 8.600000+5 2.870500+0 8.800000+5 3.014900+0 9.000000+5 3.264000+0
 9.100000+5 3.450600+0 9.200000+5 3.697600+0 9.300000+5 4.025200+0
 9.400000+5 4.458000+0 9.500000+5 5.021100+0 9.600000+5 5.727200+0
 9.700000+5 6.507986+0 9.800000+5 7.364100+0 9.900000+5 7.969900+0
 1.000000+6 8.154000+0 1.010000+6 7.870300+0 1.020000+6 7.267400+0
 1.030000+6 6.551300+0 1.040000+6 5.865300+0 1.050000+6 5.271200+0
 1.060000+6 4.780500+0 1.070000+6 4.382800+0 1.080000+6 4.061600+0
 1.090000+6 3.801300+0 1.100000+6 3.588600+0 1.110000+6 3.413839+0
 1.120000+6 3.267600+0 1.130000+6 3.144951+0 1.140000+6 3.042100+0
 1.150000+6 2.954713+0 1.160000+6 2.880000+0 1.170000+6 2.817276+0
 1.180000+6 2.764300+0 1.190000+6 2.721914+0 1.200000+6 2.688600+0
 1.210000+6 2.666830+0 1.220000+6 2.657900+0 1.230000+6 2.667401+0
 1.240000+6 2.698600+0 1.250000+6 2.768200+0 1.260000+6 2.898800+0
 1.270000+6 3.136800+0 1.280000+6 3.572600+0 1.285000+6 3.912400+0
 1.290000+6 4.365900+0 1.295000+6 4.947600+0 1.300000+6 5.628800+0
 1.305000+6 6.286900+0 1.310000+6 6.699600+0 1.315000+6 6.682000+0
 1.320000+6 6.266200+0 1.325000+6 5.655600+0 1.330000+6 5.038000+0
 1.340000+6 4.072800+0 1.350000+6 3.467600+0 1.360000+6 3.090400+0
 1.370000+6 2.844100+0 1.380000+6 2.674200+0 1.390000+6 2.550900+0
 1.400000+6 2.457300+0 1.450000+6 2.194100+0 1.500000+6 2.056900+0
 1.550000+6 1.961300+0 1.600000+6 1.890200+0 1.620000+6 1.880300+0
 1.630000+6 1.902400+0 1.640000+6 2.068300+0 1.642000+6 2.187600+0
 1.643000+6 2.283400+0 1.644000+6 2.421900+0 1.645000+6 2.630600+0
 1.646000+6 2.961500+0 1.647000+6 3.517500+0 1.648000+6 4.500500+0
 1.648500+6 5.250100+0 1.649000+6 6.213700+0 1.649500+6 7.339200+0
 1.650000+6 8.388900+0 1.650500+6 8.928200+0 1.651000+6 8.646400+0
 1.651500+6 7.715000+0 1.652000+6 6.579200+0 1.653000+6 4.733300+0
 1.654000+6 3.649300+0 1.655000+6 3.036800+0 1.656000+6 2.673700+0
 1.657000+6 2.445300+0 1.658000+6 2.293700+0 1.659000+6 2.188500+0
 1.660000+6 2.112500+0 1.665000+6 1.929100+0 1.670000+6 1.861100+0
 1.675000+6 1.826400+0 1.680000+6 1.804500+0 1.682000+6 1.797109+0
 1.684000+6 1.791370+0 1.685000+6 1.788800+0 1.686000+6 1.807018+0
 1.687000+6 1.854791+0 1.688000+6 1.913920+0 1.689000+6 1.964395+0
 1.690000+6 1.984300+0 1.691000+6 1.958873+0 1.692000+6 1.903361+0
 1.694000+6 1.787958+0 1.695000+6 1.765500+0 1.696000+6 1.763461+0
 1.698000+6 1.759507+0 1.700000+6 1.755900+0 1.720000+6 1.722800+0
 1.740000+6 1.692300+0 1.760000+6 1.660600+0 1.780000+6 1.624700+0
 1.800000+6 1.579200+0 1.820000+6 1.569700+0 1.822000+6 1.605600+0
 1.824000+6 1.683200+0 1.826000+6 1.853000+0 1.828000+6 2.239300+0
 1.830000+6 3.096400+0 1.831000+6 3.746300+0 1.832000+6 4.386900+0
 1.833000+6 4.736500+0 1.834000+6 4.656700+0 1.835000+6 4.296300+0
 1.836000+6 3.868500+0 1.837000+6 3.485600+0 1.838000+6 3.176300+0
 1.839000+6 2.934600+0 1.840000+6 2.746600+0 1.842000+6 2.482700+0
 1.844000+6 2.312700+0 1.846000+6 2.197500+0 1.848000+6 2.116200+0
 1.850000+6 2.056800+0 1.852000+6 2.012600+0 1.854000+6 1.979200+0
 1.856000+6 1.953900+0 1.858000+6 1.935100+0 1.860000+6 1.921500+0
 1.865000+6 1.906500+0 1.870000+6 1.916100+0 1.875000+6 1.953200+0
 1.880000+6 2.028300+0 1.885000+6 2.161500+0 1.890000+6 2.383100+0
 1.895000+6 2.712800+0 1.900000+6 3.066000+0 1.905000+6 3.182300+0
 1.910000+6 2.959300+0 1.915000+6 2.624800+0 1.920000+6 2.347600+0
 1.925000+6 2.151700+0 1.930000+6 2.016700+0 1.935000+6 1.921700+0
 1.940000+6 1.852700+0 1.950000+6 1.760200+0 1.960000+6 1.701200+0
 1.970000+6 1.659400+0 1.980000+6 1.627500+0 1.990000+6 1.601600+0
 2.000000+6 1.579500+0 2.050000+6 1.495100+0 2.100000+6 1.422000+0
 2.150000+6 1.338900+0 2.200000+6 1.220500+0 2.220000+6 1.152100+0
 2.240000+6 1.062400+0 2.260000+6 9.414400-1 2.280000+6 7.772500-1
 2.300000+6 5.632600-1 2.305000+6 5.035000-1 2.310000+6 4.426600-1
 2.315000+6 3.819600-1 2.320000+6 3.229400-1 2.321000+6 3.115000-1
 2.322000+6 3.002100-1 2.323000+6 2.891000-1 2.324000+6 2.781800-1
 2.325000+6 2.674600-1 2.326000+6 2.569600-1 2.327000+6 2.467100-1
 2.328000+6 2.367100-1 2.329000+6 2.269800-1 2.330000+6 2.175400-1
 2.331000+6 2.084100-1 2.332000+6 1.996100-1 2.333000+6 1.911400-1
 2.334000+6 1.830300-1 2.335000+6 1.752900-1 2.336000+6 1.679300-1
 2.337000+6 1.609700-1 2.338000+6 1.544200-1 2.339000+6 1.483000-1
 2.340000+6 1.426100-1 2.341000+6 1.373700-1 2.342000+6 1.325900-1
 2.343000+6 1.282800-1 2.344000+6 1.244300-1 2.345000+6 1.210700-1
 2.346000+6 1.182000-1 2.347000+6 1.158200-1 2.348000+6 1.139300-1
 2.349000+6 1.125300-1 2.350000+6 1.116400-1 2.351000+6 1.112400-1
 2.352000+6 1.113300-1 2.353000+6 1.119200-1 2.354000+6 1.130000-1
 2.354170+6 1.132245-1 2.355000+6 1.145500-1 2.355318+6 1.151584-1
 2.355319+6 1.151604-1 2.355357+6 1.152358-1 2.357000+6 1.190900-1
 2.358000+6 1.220600-1 2.359000+6 1.254800-1 2.360000+6 1.293300-1
 2.361000+6 1.336200-1 2.362000+6 1.383300-1 2.363000+6 1.434400-1
 2.364000+6 1.489400-1 2.365000+6 1.548200-1 2.366000+6 1.610600-1
 2.367000+6 1.676500-1 2.368000+6 1.745700-1 2.370000+6 1.893400-1
 2.375000+6 2.309700-1 2.380000+6 2.776700-1 2.390000+6 3.788800-1
 2.400000+6 4.807000-1 2.410000+6 5.755000-1 2.420000+6 6.596800-1
 2.430000+6 7.322800-1 2.440000+6 7.938100-1 2.450000+6 8.454400-1
 2.460000+6 8.885300-1 2.470000+6 9.244200-1 2.480000+6 9.542700-1
 2.490000+6 9.791200-1 2.500000+6 9.998100-1 2.520000+6 1.031400+0
 2.540000+6 1.053300+0 2.560000+6 1.068400+0 2.580000+6 1.078600+0
 2.600000+6 1.085300+0 2.650000+6 1.092500+0 2.700000+6 1.092800+0
 2.750000+6 1.091200+0 2.800000+6 1.091900+0 2.850000+6 1.100500+0
 2.860000+6 1.104800+0 2.870000+6 1.112100+0 2.880000+6 1.130700+0
 2.882000+6 1.140000+0 2.884000+6 1.156500+0 2.886000+6 1.195200+0
 2.887000+6 1.244200+0 2.888000+6 1.391800+0 2.888200+6 1.462900+0
 2.888400+6 1.574300+0 2.888500+6 1.655800+0 2.888600+6 1.765300+0
 2.888700+6 1.916200+0 2.888800+6 2.127900+0 2.888900+6 2.420600+0
